Session,Session Date,Session Title / Poster Group,Start Time,Stop Time,# of Papers,Session Chairs,Session Order,Poster ID,Paper ID,Title (Corrected),Authors (Corrected)
,,,,,,,13,31a,6116,Towards Layer-Wise Image Vectorization,Xu Ma; Yuqian Zhou; Xingqian Xu; Bin Sun; Valerii Filev; Nikita Orlov; Yun Fu; Humphrey Shi
,,,,,,,14,32a,9216,Dual-Shutter Optical Vibration Sensing,Mark Sheinin; Dorian Chan; Matthew O'Toole; Srinivasa G. Narasimhan
,,,,,,,15,33a,8018,Fisher Information Guidance for Learned Time-of-Flight Imaging,Jiaqu Li; Tao Yue; Sijie Zhao; Xuemei Hu
,,,,,,,16,34a,2086,Autofocus for Event Cameras,Shijie Lin; Yinqiang Zhang; Lei Yu; Bin Zhou; Xiaowei Luo; Jia Pan
,,,,,,,17,35a,7228,Adaptive Gating for Single-Photon 3D Imaging,Ryan Po; Adithya Pediredla; Ioannis Gkioulekas
,,,,,,,18,36a,1542,LiDAR Snowfall Simulation for Robust 3D Object Detection,Martin Hahner; Christos Sakaridis; Mario Bijelic; Felix Heide; Fisher Yu; Dengxin Dai; Luc Van Gool
,,Vision & Language,8:30 AM,10:18 AM,18,Zicheng Liu (Microsoft),1,37a,9802,MERLOT Reserve: Neural Script Knowledge Through Vision and Language and Sound,Rowan Zellers; Jiasen Lu; Ximing Lu; Youngjae Yu; Yanpeng Zhao; Mohammadreza Salehi; Aditya Kusupati; Jack Hessel; Ali Farhadi; Yejin Choi
,,,,,,Gul Varol (Ecole des Ponts ParisTech),2,38a,8020,Joint Video Summarization and Moment Localization by Cross-Task Sample Transfer,Hao Jiang; Yadong Mu
,,,,,,,3,39a,4901,Towards General Purpose Vision Systems: An End-to-End Task-Agnostic Vision-Language Architecture,Tanmay Gupta; Amita Kamath; Aniruddha Kembhavi; Derek Hoiem
,,,,,,,4,40a,9256,Disentangling Visual and Written Concepts in CLIP,Joanna Materzyńska; Antonio Torralba; David Bau
,,,,,,,5,41a,3073,CLIP-Event: Connecting Text and Images With Event Structures,Manling Li; Ruochen Xu; Shuohang Wang; Luowei Zhou; Xudong Lin; Chenguang Zhu; Michael Zeng; Heng Ji; Shih-Fu Chang
,,,,,,,6,42a,9642,Robust Cross-Modal Representation Learning With Progressive Self-Distillation,Alex Andonian; Shixing Chen; Raffay Hamid
,,,,,,,7,43a,1519,TubeDETR: Spatio-Temporal Video Grounding With Transformers,Antoine Yang; Antoine Miech; Josef Sivic; Ivan Laptev; Cordelia Schmid
,,,,,,,8,44a,5880,3D-SPS: Single-Stage 3D Visual Grounding via Referred Point Progressive Selection,Junyu Luo; Jiahui Fu; Xianghao Kong; Chen Gao; Haibing Ren; Hao Shen; Huaxia Xia; Si Liu
,,,,,,,9,45a,4203,3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds,Daigang Cai; Lichen Zhao; Jing Zhang; Lu Sheng; Dong Xu
,,,,,,,10,46a,10995,Globetrotter: Connecting Languages by Connecting Images,Dídac Surís; Dave Epstein; Carl Vondrick
,,,,,,,11,47a,5426,Unsupervised Vision-and-Language Pre-Training via Retrieval-Based Multi-Granular Alignment,Mingyang Zhou; Licheng Yu; Amanpreet Singh; Mengjiao Wang; Zhou Yu; Ning Zhang
,,,,,,,12,48a,6960,WebQA: Multihop and Multimodal QA,Yingshan Chang; Mridu Narang; Hisami Suzuki; Guihong Cao; Jianfeng Gao; Yonatan Bisk
,,,,,,,13,49a,3830,PartGlot: Learning Shape Part Segmentation From Language Reference Games,Juil Koo; Ian Huang; Panos Achlioptas; Leonidas J. Guibas; Minhyuk Sung
,,,,,,,14,50a,3393,DF-GAN: A Simple and Effective Baseline for Text-to-Image Synthesis,Ming Tao; Hao Tang; Fei Wu; Xiao-Yuan Jing; Bing-Kun Bao; Changsheng Xu
,,,,,,,15,51a,4567,L-Verse: Bidirectional Generation Between Image and Text,Taehoon Kim; Gwangmo Song; Sihaeng Lee; Sangyun Kim; Yewon Seo; Soonyoung Lee; Seung Hwan Kim; Honglak Lee; Kyunghoon Bae
,,,,,,,16,52a,3269,"Think Global, Act Local: Dual-Scale Graph Transformer for Vision-and-Language Navigation",Shizhe Chen; Pierre-Louis Guhur; Makarand Tapaswi; Cordelia Schmid; Ivan Laptev
,,,,,,,17,53a,1446,LaTr: Layout-Aware Transformer for Scene-Text VQA,Ali Furkan Biten; Ron Litman; Yusheng Xie; Srikar Appalaraju; R. Manmatha
,,,,,,,18,54a,1533,Learning Program Representations for Food Images and Cooking Recipes,Dim P. Papadopoulos; Enrique Mora; Nadiia Chepurko; Kuan Wei Huang; Ferda Ofli; Antonio Torralba
,,Representation Learning,10:00 AM,12:30 PM,205,,1,55a,97,On the Importance of Asymmetry for Siamese Representation Learning,Xiao Wang; Haoqi Fan; Yuandong Tian; Daisuke Kihara; Xinlei Chen
,,,,,,,2,56a,4908,Leverage Your Local and Global Representations: A New Self-Supervised Learning Strategy,Tong Zhang; Congpei Qiu; Wei Ke; Sabine Süsstrunk; Mathieu Salzmann
,,,,,,,3,57a,6770,Exploring Set Similarity for Dense Self-Supervised Representation Learning,Zhaoqing Wang; Qiang Li; Guoxin Zhang; Pengfei Wan; Wen Zheng; Nannan Wang; Mingming Gong; Tongliang Liu
,,,,,,,4,58a,1148,Align Representations With Base: A New Approach to Self-Supervised Learning,Shaofeng Zhang; Lyn Qiu; Feng Zhu; Junchi Yan; Hengrui Zhang; Rui Zhao; Hongyang Li; Xiaokang Yang
,,,,,,,5,59a,5564,Identifying Ambiguous Similarity Conditions via Semantic Matching,Han-Jia Ye; Yi Shi; De-Chuan Zhan
,,,,,,,6,60a,1560,Node Representation Learning in Graph via Node-to-Neighbourhood Mutual Information Maximization,Wei Dong; Junsheng Wu; Yi Luo; Zongyuan Ge; Peng Wang
,,,,,,,7,61a,2267,Instance-Dependent Label-Noise Learning With Manifold-Regularized Transition Matrix Estimation,De Cheng; Tongliang Liu; Yixiong Ning; Nannan Wang; Bo Han; Gang Niu; Xinbo Gao; Masashi Sugiyama
,,,,,,,8,62a,5628,Unsupervised Visual Representation Learning by Online Constrained K-Means,Qi Qian; Yuanhong Xu; Juhua Hu; Hao Li; Rong Jin
,,,,,,,9,63a,6796,Rethinking the Augmentation Module in Contrastive Learning: Learning Hierarchical Augmentation Invariance With Expanded Views,Junbo Zhang; Kaisheng Ma
,,,,,,,10,64a,9432,Use All the Labels: A Hierarchical Multi-Label Contrastive Learning Framework,Shu Zhang; Ran Xu; Caiming Xiong; Chetan Ramaiah
,,,,,,,11,65a,3974,Robust Contrastive Learning Against Noisy Views,Ching-Yao Chuang; R Devon Hjelm; Xin Wang; Vibhav Vineet; Neel Joshi; Antonio Torralba; Stefanie Jegelka; Yale Song
,,,,,,,12,66a,9150,On Learning Contrastive Representations for Learning With Noisy Labels,Li Yi; Sheng Liu; Qi She; A. Ian McLeod; Boyu Wang
,,,,,,,13,67a,5596,Directional Self-Supervised Learning for Heavy Image Augmentations,Yalong Bai; Yifan Yang; Wei Zhang; Tao Mei
,,,,,,,14,68a,6237,Continual Learning for Visual Search With Backward Consistent Feature Embedding,Timmy S. T. Wan; Jun-Cheng Chen; Tzer-Yi Wu; Chu-Song Chen
,,,,,,,15,69a,7076,Probing Representation Forgetting in Supervised and Unsupervised Continual Learning,MohammadReza Davari; Nader Asadi; Sudhir Mudur; Rahaf Aljundi; Eugene Belilovsky
,,,,,,,16,70a,8366,Mimicking the Oracle: An Initial Phase Decorrelation Approach for Class Incremental Learning,Yujun Shi; Kuangqi Zhou; Jian Liang; Zihang Jiang; Jiashi Feng; Philip H.S. Torr; Song Bai; Vincent Y. F. Tan
,,,,,,,17,71a,5436,Bring Evanescent Representations to Life in Lifelong Class Incremental Learning,Marco Toldo; Mete Ozay
,,,,,,,18,72a,9791,Unsupervised Learning of Debiased Representations With Pseudo-Attributes,Seonguk Seo; Joon-Young Lee; Bohyung Han
,,,,,,,19,73a,9744,A Conservative Approach for Unbiased Learning on Unknown Biases,Myeongho Jeon; Daekyung Kim; Woochul Lee; Myungjoo Kang; Joonseok Lee
,,,,,,,20,74a,2533,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions With Superior OOD Generalization,Damien Teney; Ehsan Abbasnejad; Simon Lucey; Anton van den Hengel
,,,,,,,21,75a,2336,Co-Advise: Cross Inductive Bias Distillation,Sucheng Ren; Zhengqi Gao; Tianyu Hua; Zihui Xue; Yonglong Tian; Shengfeng He; Hang Zhao
,,,,,,,22,76a,11590,PixMix: Dreamlike Pictures Comprehensively Improve Safety Measures,Dan Hendrycks; Andy Zou; Mantas Mazeika; Leonard Tang; Bo Li; Dawn Song; Jacob Steinhardt
,,,,,,,23,77a,4046,RegionCLIP: Region-Based Language-Image Pretraining,Yiwu Zhong; Jianwei Yang; Pengchuan Zhang; Chunyuan Li; Noel Codella; Liunian Harold Li; Luowei Zhou; Xiyang Dai; Lu Yuan; Yin Li; Jianfeng Gao
,,,,,,,24,78a,4187,Uni-Perceiver: Pre-Training Unified Architecture for Generic Perception for Zero-Shot and Few-Shot Tasks,Xizhou Zhu; Jinguo Zhu; Hao Li; Xiaoshi Wu; Hongsheng Li; Xiaohua Wang; Jifeng Dai
,,,,,,,25,79a,2629,Conditional Prompt Learning for Vision-Language Models,Kaiyang Zhou; Jingkang Yang; Chen Change Loy; Ziwei Liu
,,Scene Analysis & Understanding,,,,,26,80a,2004,Noisy Boundaries: Lemon or Lemonade for Semi-Supervised Instance Segmentation?,Zhenyu Wang; Yali Li; Shengjin Wang
,,,,,,,27,81a,5105,Partial Class Activation Attention for Semantic Segmentation,Sun-Ao Liu; Hongtao Xie; Hai Xu; Yongdong Zhang; Qi Tian
,,,,,,,28,82a,7261,Learning Affinity From Attention: End-to-End Weakly-Supervised Semantic Segmentation With Transformers,Lixiang Ru; Yibing Zhan; Baosheng Yu; Bo Du
,,,,,,,29,83a,4156,Towards Noiseless Object Contours for Weakly Supervised Semantic Segmentation,Jing Li; Junsong Fan; Zhaoxiang Zhang
,,,,,,,30,84a,7427,Class Similarity Weighted Knowledge Distillation for Continual Semantic Segmentation,Minh Hieu Phan; The-Anh Ta; Son Lam Phung; Long Tran-Thanh; Abdesselam Bouzerdoum
,,,,,,,31,85a,4593,Structural and Statistical Texture Knowledge Distillation for Semantic Segmentation,Deyi Ji; Haoran Wang; Mingyuan Tao; Jianqiang Huang; Xian-Sheng Hua; Hongtao Lu
,,,,,,,32,86a,1567,L2G: A Simple Local-to-Global Knowledge Transfer Framework for Weakly Supervised Semantic Segmentation,Peng-Tao Jiang; Yuqi Yang; Qibin Hou; Yunchao Wei
,,,,,,,33,87a,573,Weakly Supervised Semantic Segmentation Using Out-of-Distribution Data,Jungbeom Lee; Seong Joon Oh; Sangdoo Yun; Junsuk Choe; Eunji Kim; Sungroh Yoon
,,,,,,,34,88a,1307,Tree Energy Loss: Towards Sparsely Annotated Semantic Segmentation,Zhiyuan Liang; Tiancai Wang; Xiangyu Zhang; Jian Sun; Jianbing Shen
,,,,,,,35,89a,2748,Bending Reality: Distortion-Aware Transformers for Adapting to Panoramic Semantic Segmentation,Jiaming Zhang; Kailun Yang; Chaoxiang Ma; Simon Reiß; Kunyu Peng; Rainer Stiefelhagen
,,,,,,,36,90a,4586,MM-TTA: Multi-Modal Test-Time Adaptation for 3D Semantic Segmentation,Inkyu Shin; Yi-Hsuan Tsai; Bingbing Zhuang; Samuel Schulter; Buyu Liu; Sparsh Garg; In So Kweon; Kuk-Jin Yoon
,,,,,,,37,91a,8233,NightLab: A Dual-Level Architecture With Hardness Detection for Segmentation at Night,Xueqing Deng; Peng Wang; Xiaochen Lian; Shawn Newsam
,,,,,,,38,92a,6032,Fast Point Transformer,Chunghyun Park; Yoonwoo Jeong; Minsu Cho; Jaesik Park
,,,,,,,39,93a,7468,RigidFlow: Self-Supervised Scene Flow Learning on Point Clouds by Local Rigidity Prior,Ruibo Li; Chi Zhang; Guosheng Lin; Zhe Wang; Chunhua Shen
,,,,,,,40,94a,807,ConDor: Self-Supervised Canonicalization of 3D Pose for Partial Shapes,Rahul Sajnani; Adrien Poulenard; Jivitesh Jain; Radhika Dua; Leonidas J. Guibas; Srinath Sridhar
,,,,,,,41,95a,1738,DisARM: Displacement Aware Relation Module for 3D Detection,Yao Duan; Chenyang Zhu; Yuqing Lan; Renjiao Yi; Xinwang Liu; Kai Xu
,,,,,,,42,96a,2722,Learning Object Context for Novel-View Scene Layout Generation,Xiaotian Qiao; Gerhard P. Hancke; Rynson W.H. Lau
,,,,,,,43,97a,2166,Weakly but Deeply Supervised Occlusion-Reasoned Parametric Road Layouts,Buyu Liu; Bingbing Zhuang; Manmohan Chandraker
,,,,,,,44,98a,348,Beyond Cross-View Image Retrieval: Highly Accurate Vehicle Localization Using Satellite Image,Yujiao Shi; Hongdong Li
,,,,,,,45,99a,5927,Raw High-Definition Radar for Multi-Task Learning,Julien Rebut; Arthur Ouaknine; Waqas Malik; Patrick Pérez
,,,,,,,46,100a,2343,Zero Experience Required: Plug & Play Modular Transfer Learning for Semantic Visual Navigation,Ziad Al-Halah; Santhosh Kumar Ramakrishnan; Kristen Grauman
,,,,,,,47,101a,7169,UKPGAN: A General Self-Supervised Keypoint Detector,Yang You; Wenhai Liu; Yanjie Ze; Yong-Lu Li; Weiming Wang; Cewu Lu
,,,,,,,48,102a,5057,Cannot See the Forest for the Trees: Aggregating Multiple Viewpoints To Better Classify Objects in Videos,Sukjun Hwang; Miran Heo; Seoung Wug Oh; Seon Joo Kim
,,Navigation & Autonomous Driving,,,,,49,103a,104,Rethinking Efficient Lane Detection via Curve Modeling,Zhengyang Feng; Shaohua Guo; Xin Tan; Ke Xu; Min Wang; Lizhuang Ma
,,,,,,,50,104a,5623,Exploiting Temporal Relations on Radar Perception for Autonomous Driving,Peizhao Li; Pu Wang; Karl Berntorp; Hongfu Liu
,,,,,,,51,105a,1321,Towards Robust and Adaptive Motion Forecasting: A Causal Representation Perspective,Yuejiang Liu; Riccardo Cadei; Jonas Schweizer; Sherwin Bahmani; Alexandre Alahi
,,,,,,,52,106a,3631,BE-STI: Spatial-Temporal Integrated Network for Class-Agnostic Motion Prediction With Bidirectional Enhancement,Yunlong Wang; Hongyu Pan; Jun Zhu; Yu-Huan Wu; Xin Zhan; Kun Jiang; Diange Yang
,,,,,,,53,107a,9886,"ScePT: Scene-Consistent, Policy-Based Trajectory Predictions for Planning",Yuxiao Chen; Boris Ivanovic; Marco Pavone
,,,,,,,54,108a,607,Stochastic Trajectory Prediction via Motion Indeterminacy Diffusion,Tianpei Gu; Guangyi Chen; Junlong Li; Chunze Lin; Yongming Rao; Jie Zhou; Jiwen Lu
,,,,,,,55,109a,1397,"Vehicle Trajectory Prediction Works, but Not Everywhere",Mohammadhossein Bahari; Saeed Saadatnejad; Ahmad Rahimi; Mohammad Shaverdikondori; Amir Hossein Shahidzadeh; Seyed-Mohsen Moosavi-Dezfooli; Alexandre Alahi
,,,,,,,56,110a,9659,LTP: Lane-Based Trajectory Prediction for Autonomous Driving,Jingke Wang; Tengju Ye; Ziqing Gu; Junbo Chen
,,,,,,,57,111a,2468,ONCE-3DLanes: Building Monocular 3D Lane Detection,Fan Yan; Ming Nie; Xinyue Cai; Jianhua Han; Hang Xu; Zhen Yang; Chaoqiang Ye; Yanwei Fu; Michael Bi Mi; Li Zhang
,,,,,,,58,112a,10899,Towards Driving-Oriented Metric for Lane Detection Models,Takami Sato; Qi Alfred Chen
,,,,,,,59,113a,6918,Eigenlanes: Data-Driven Lane Descriptors for Structurally Diverse Lanes,Dongkwon Jin; Wonhui Park; Seong-Gyun Jeong; Heeyeon Kwon; Chang-Su Kim
,,,,,,,60,114a,5120,LIFT: Learning 4D LiDAR Image Fusion Transformer for 3D Object Detection,Yihan Zeng; Da Zhang; Chunwei Wang; Zhenwei Miao; Ting Liu; Xin Zhan; Dayang Hao; Chao Ma
,,,,,,,61,115a,1664,DeepFusion: Lidar-Camera Deep Fusion for Multi-Modal 3D Object Detection,Yingwei Li; Adams Wei Yu; Tianjian Meng; Ben Caine; Jiquan Ngiam; Daiyi Peng; Junyang Shen; Yifeng Lu; Denny Zhou; Quoc V. Le; Alan Yuille; Mingxing Tan
,,,,,,,62,116a,9131,A Versatile Multi-View Framework for LiDAR-Based 3D Object Detection With Guidance From Panoptic Segmentation,Hamidreza Fazlali; Yixuan Xu; Yuan Ren; Bingbing Liu
,,,,,,,63,117a,7091,Forecasting From LiDAR via Future Object Detection,Neehar Peri; Jonathon Luiten; Mengtian Li; Aljoša Ošep; Laura Leal-Taixé; Deva Ramanan
,,,,,,,64,118a,5998,RIDDLE: Lidar Data Compression With Range Image Deep Delta Encoding,Xuanyu Zhou; Charles R. Qi; Yin Zhou; Dragomir Anguelov
,,,,,,,65,119a,3364,Learning From All Vehicles,Dian Chen; Philipp Krähenbühl
,,,,,,,66,120a,10331,Is Mapping Necessary for Realistic PointGoal Navigation?,Ruslan Partsey; Erik Wijmans; Naoki Yokoyama; Oles Dobosevych; Dhruv Batra; Oleksandr Maksymets
,,,,,,,67,121a,9772,Symmetry-Aware Neural Architecture for Embodied Visual Exploration,Shuang Liu; Takayuki Okatani
,,,,,,,68,122a,6482,Coopernaut: End-to-End Driving With Cooperative Perception for Networked Vehicles,Jiaxun Cui; Hang Qiu; Dian Chen; Peter Stone; Yuke Zhu
,,,,,,,69,123a,10621,Topology Preserving Local Road Network Estimation From Single Onboard Camera Image,Yigit Baran Can; Alexander Liniger; Danda Pani Paudel; Luc Van Gool
,,,,,,,70,124a,6744,Coupling Vision and Proprioception for Navigation of Legged Robots,Zipeng Fu; Ashish Kumar; Ananye Agarwal; Haozhi Qi; Jitendra Malik; Deepak Pathak
,,,,,,,71,125a,10063,Pyramid Architecture for Multi-Scale Processing in Point Cloud Segmentation,Dong Nie; Rui Lan; Ling Wang; Xiaofeng Ren
,,,,,,,72,126a,9391,3D-VField: Adversarial Augmentation of Point Clouds for Domain Generalization in 3D Object Detection,Alexander Lehner; Stefano Gasperini; Alvaro Marcos-Ramiro; Michael Schmidt; Mohammad-Ali Nikouei Mahani; Nassir Navab; Benjamin Busam; Federico Tombari
,,,,,,,73,127a,4385,Generating Useful Accident-Prone Driving Scenarios via a Learned Traffic Prior,Davis Rempe; Jonah Philion; Leonidas J. Guibas; Sanja Fidler; Or Litany
,,,,,,,74,128a,2537,SelfD: Self-Learning Large-Scale Driving Policies From the Web,Jimuyang Zhang; Ruizhao Zhu; Eshed Ohn-Bar
,,,,,,,75,129a,5244,Towards Real-World Navigation With Deep Differentiable Planners,Shu Ishida; João F. Henriques
,,,,,,,76,130a,10481,Privacy Preserving Partial Localization,Marcel Geppert; Viktor Larsson; Johannes L. Schönberger; Marc Pollefeys
,,,,,,,77,131a,6490,Efficient Large-Scale Localization by Global Instance Recognition,Fei Xue; Ignas Budvytis; Daniel Olmeda Reino; Roberto Cipolla
,,,,,,,78,132a,5459,CrossLoc: Scalable Aerial Localization Assisted by Multimodal Synthetic Data,Qi Yan; Jianhao Zheng; Simon Reding; Shanci Li; Iordan Doytchinov
,,Low-Level Vision,,,,,79,133a,163,Bilateral Video Magnification Filter,Shoichiro Takeda; Kenta Niwa; Mariko Isogawa; Shinya Shimizu; Kazuki Okami; Yushi Aono
,,,,,,,80,134a,4527,Neural Data-Dependent Transform for Learned Image Compression,Dezhao Wang; Wenhan Yang; Yueyu Hu; Jiaying Liu
,,,,,,,81,135a,4329,Towards Bidirectional Arbitrary Image Rescaling: Joint Optimization and Cycle Idempotence,Zhihong Pan; Baopu Li; Dongliang He; Mingde Yao; Wenhao Wu; Tianwei Lin; Xin Li; Errui Ding
,,,,,,,82,136a,4093,Deep Generalized Unfolding Networks for Image Restoration,Chong Mou; Qian Wang; Jian Zhang
,,,,,,,83,137a,3967,Look Back and Forth: Video Super-Resolution With Explicit Temporal Difference Modeling,Takashi Isobe; Xu Jia; Xin Tao; Changlin Li; Ruihuang Li; Yongjie Shi; Jing Mu; Huchuan Lu; Yu-Wing Tai
,,,,,,,84,138a,9885,XYDeblur: Divide and Conquer for Single Image Deblurring,Seo-Won Ji; Jeongmin Lee; Seung-Wook Kim; Jun-Pyo Hong; Seung-Jin Baek; Seung-Won Jung; Sung-Jea Ko
,,,,,,,85,139a,8572,Abandoning the Bayer-Filter To See in the Dark,Xingbo Dong; Wanyan Xu; Zhihui Miao; Lan Ma; Chao Zhang; Jiewen Yang; Zhe Jin; Andrew Beng Jin Teoh; Jiajun Shen
,,,,,,,86,140a,9293,RSTT: Real-Time Spatial Temporal Transformer for Space-Time Video Super-Resolution,Zhicheng Geng; Luming Liang; Tianyu Ding; Ilya Zharkov
,,,,,,,87,141a,8149,All-in-One Image Restoration for Unknown Corruption,Boyun Li; Xiao Liu; Peng Hu; Zhongqin Wu; Jiancheng Lv; Xi Peng
,,,,,,,88,142a,9697,Modeling sRGB Camera Noise With Normalizing Flows,Shayan Kousha; Ali Maleky; Michael S. Brown; Marcus A. Brubaker
,,,,,,,89,143a,3788,A Differentiable Two-Stage Alignment Scheme for Burst Image Reconstruction With Large Shift,Shi Guo; Xi Yang; Jianqi Ma; Gaofeng Ren; Lei Zhang
,,,,,,,90,144a,1431,Video Frame Interpolation Transformer,Zhihao Shi; Xiangyu Xu; Xiaohong Liu; Jun Chen; Ming-Hsuan Yang
,,,,,,,91,145a,1412,The Devil Is in the Details: Window-Based Attention for Image Compression,Renjie Zou; Chunfeng Song; Zhaoxiang Zhang
,,,,,,,92,146a,1176,Mask-Guided Spectral-Wise Transformer for Efficient Hyperspectral Image Reconstruction,Yuanhao Cai; Jing Lin; Xiaowan Hu; Haoqian Wang; Xin Yuan; Yulun Zhang; Radu Timofte; Luc Van Gool
,,,,,,,93,147a,3387,RestoreFormer: High-Quality Blind Face Restoration From Undegraded Key-Value Pairs,Zhouxia Wang; Jiawei Zhang; Runjian Chen; Wenping Wang; Ping Luo
,,,,,,,94,148a,3051,AdaInt: Learning Adaptive Intervals for 3D Lookup Tables on Real-Time Image Enhancement,Canqian Yang; Meiguang Jin; Xu Jia; Yi Xu; Ying Chen
,,,,,,,95,149a,2882,HerosNet: Hyperspectral Explicable Reconstruction and Optimal Sampling Deep Network for Snapshot Compressive Imaging,Xuanyu Zhang; Yongbing Zhang; Ruiqin Xiong; Qilin Sun; Jian Zhang
,,,,,,,96,150a,2182,HDNet: High-Resolution Dual-Domain Learning for Spectral Compressive Imaging,Xiaowan Hu; Yuanhao Cai; Jing Lin; Haoqian Wang; Xin Yuan; Yulun Zhang; Radu Timofte; Luc Van Gool
,,,,,,,97,151a,6342,Learning To Zoom Inside Camera Imaging Pipeline,Chengzhou Tang; Yuqiang Yang; Bing Zeng; Ping Tan; Shuaicheng Liu
,,,,,,,98,152a,335,Towards an End-to-End Framework for Flow-Guided Video Inpainting,Zhen Li; Cheng-Ze Lu; Jianhua Qin; Chun-Le Guo; Ming-Ming Cheng
,,,,,,,99,153a,2141,Context-Aware Video Reconstruction for Rolling Shutter Cameras,Bin Fan; Yuchao Dai; Zhiyuan Zhang; Qi Liu; Mingyi He
,,,,,,,100,154a,5516,CVF-SID: Cyclic Multi-Variate Function for Self-Supervised Image Denoising by Disentangling Noise From Image,Reyhaneh Neshatavar; Mohsen Yavartanoo; Sanghyun Son; Kyoung Mu Lee
,,,,,,,101,155a,4529,Global Matching With Overlapping Attention for Optical Flow Estimation,Shiyu Zhao; Long Zhao; Zhixing Zhang; Enyu Zhou; Dimitris Metaxas
,,,,,,,102,156a,1482,CRAFT: Cross-Attentional Flow Transformer for Robust Optical Flow,Xiuchao Sui; Shaohua Li; Xue Geng; Yan Wu; Xinxing Xu; Yong Liu; Rick Goh; Hongyuan Zhu
,,,,,,,103,157a,1048,Unified Multivariate Gaussian Mixture for Efficient Neural Image Compression,Xiaosu Zhu; Jingkuan Song; Lianli Gao; Feng Zheng; Heng Tao Shen
,,,,,,,104,158a,4286,Video Demoiréing With Relation-Based Temporal Consistency,Peng Dai; Xin Yu; Lan Ma; Baoheng Zhang; Jia Li; Wenbo Li; Jiajun Shen; Xiaojuan Qi
,,,,,,,105,159a,6635,Noise2NoiseFlow: Realistic Camera Noise Modeling Without Clean Images,Ali Maleky; Shayan Kousha; Michael S. Brown; Marcus A. Brubaker
,,,,,,,106,160a,5086,Deep Constrained Least Squares for Blind Image Super-Resolution,Ziwei Luo; Haibin Huang; Lei Yu; Youwei Li; Haoqiang Fan; Shuaicheng Liu
,,,,,,,107,161a,12027,Learning Multiple Adverse Weather Removal via Two-Stage Knowledge Learning and Multi-Contrastive Regularization: Toward a Unified Model,Wei-Ting Chen; Zhi-Kai Huang; Cheng-Che Tsai; Hao-Hsiang Yang; Jian-Jiun Ding; Sy-Yen Kuo
,,,,,,,108,162a,5762,Unsupervised Homography Estimation With Coplanarity-Aware GAN,Mingbo Hong; Yuhang Lu; Nianjin Ye; Chunyu Lin; Qijun Zhao; Shuaicheng Liu
,,Computational Photography,,,,,109,163a,174,Attentive Fine-Grained Structured Sparsity for Image Restoration,Junghun Oh; Heewon Kim; Seungjun Nah; Cheeun Hong; Jonghyun Choi; Kyoung Mu Lee
,,,,,,,110,164a,7197,Uformer: A General U-Shaped Transformer for Image Restoration,Zhendong Wang; Xiaodong Cun; Jianmin Bao; Wengang Zhou; Jianzhuang Liu; Houqiang Li
,,,,,,,111,165a,4507,Bringing Old Films Back to Life,Ziyu Wan; Bo Zhang; Dongdong Chen; Jing Liao
,,,,,,,112,166a,4883,Learning sRGB-to-Raw-RGB De-Rendering With Content-Aware Metadata,Seonghyeon Nam; Abhijith Punnappurath; Marcus A. Brubaker; Michael S. Brown
,,,,,,,113,167a,4445,SNR-Aware Low-Light Image Enhancement,Xiaogang Xu; Ruixing Wang; Chi-Wing Fu; Jiaya Jia
,,,,,,,114,168a,5690,AP-BSN: Self-Supervised Denoising for Real-World Images via Asymmetric PD and Blind-Spot Network,Wooseok Lee; Sanghyun Son; Kyoung Mu Lee
,,,,,,,115,169a,5686,Synthetic Aperture Imaging With Events and Frames,Wei Liao; Xiang Zhang; Lei Yu; Shijie Lin; Wen Yang; Ning Qiao
,,,,,,,116,170a,4005,Ev-TTA: Test-Time Adaptation for Event-Based Object Recognition,Junho Kim; Inwoo Hwang; Young Min Kim
,,,,,,,117,171a,1762,Time Lens++: Event-Based Frame Interpolation With Parametric Non-Linear Flow and Multi-Scale Fusion,Stepan Tulyakov; Alfredo Bochicchio; Daniel Gehrig; Stamatios Georgoulis; Yuanyou Li; Davide Scaramuzza
,,,,,,,118,172a,5205,Unifying Motion Deblurring and Frame Interpolation With Events,Xiang Zhang; Lei Yu
,,,,,,,119,173a,1091,EvUnroll: Neuromorphic Events Based Rolling Shutter Image Correction,Xinyu Zhou; Peiqi Duan; Yi Ma; Boxin Shi
,,,,,,,120,174a,7524,Learning Adaptive Warping for Real-World Rolling Shutter Correction,Mingdeng Cao; Zhihang Zhong; Jiahao Wang; Yinqiang Zheng; Yujiu Yang
,,,,,,,121,175a,2614,Neural Global Shutter: Learn To Restore Video From a Rolling Shutter Camera With Global Reset Feature,Zhixiang Wang; Xiang Ji; Jia-Bin Huang; Shin'ichi Satoh; Xiao Zhou; Yinqiang Zheng
,,,,,,,122,176a,1582,TimeReplayer: Unlocking the Potential of Event Cameras for Video Interpolation,Weihua He; Kaichao You; Zhendong Qiao; Xu Jia; Ziyang Zhang; Wenhui Wang; Huchuan Lu; Yaoyuan Wang; Jianxing Liao
,,,,,,,123,177a,2562,Optimizing Video Prediction via Video Frame Interpolation,Yue Wu; Qiang Wen; Qifeng Chen
,,,,,,,124,178a,5956,Reference-Based Video Super-Resolution Using Multi-Camera Video Triplets,Junyong Lee; Myeonghee Lee; Sunghyun Cho; Seungyong Lee
